country,capital
Algeria, Algiers
Angola, Luanda
Benin, Porto-Novo
Botswana, Gaborone
Burkina Faso, Ouagadougou
Burundi, Bujumbura
Cameroon, Yaoundé
Cape Verde, Praia
Central African Republic, Bangui
Chad, N'Djamena
Comoros, Moroni
Democratic Republic of the Congo, Kinshasa
Republic of the Congo, Brazzaville
Cote d'Ivoire, Yamoussoukro
Djibouti, Djibouti City
Egypt, Cairo
Equatorial Guinea, Malabo
Eritrea, Asmara
Ethiopia, Addis Ababa
Gabon, Libreville
Gambia, Banjul
Ghana, Accra
Guinea, Conakry
Guinea-Bissau, Bissau
Kenya, Nairobi
Lesotho, Maseru
Liberia, Monrovia
Libya, Tripoli
Madagascar, Antananarivo
Malawi, Lilongwe
Mali, Bamako
Mauritania, Nouakchott
Mauritius, Port Louis
Morocco, Rabat
Mozambique, Maputo
Namibia, Windhoek
Niger, Niamey
Nigeria, Abuja
Rwanda, Kigali
Sao Tome and Principe, Sao Tome
Senegal, Dakar
Seychelles, Victoria
Sierra Leone, Freetown
Somalia, Mogadishu
South Africa, Pretoria
South Sudan, Juba
Sudan, Khartoum
Swaziland, Mbabane
Tanzania, Dodoma
Togo, Lomé
Tunisia, Tunis
Uganda, Kampala
Zambia, Lusaka
Zimbabwe, Harare
