country,city_count
Algeria,48
Angola,24
Benin,13
Botswana,9
Burkina Faso,12
Burundi,6
Cameroon,20
Cape Verde,9
Central African Republic,6
Chad,8
Comoros,6
Democratic Republic of the Congo,19
Republic of the Congo,5
Cote d'Ivoire,19
Djibouti,2
Egypt,35
Equatorial Guinea,4
Eritrea,4
Ethiopia,22
Gabon,9
Gambia,8
Ghana,20
Guinea,11
Guinea-Bissau,3
Kenya,23
Lesotho,3
Liberia,9
Libya,7
Madagascar,21
Malawi,7
Mali,15
Mauritania,7
Mauritius,6
Morocco,34
Mozambique,18
Namibia,11
Niger,9
Nigeria,37
Rwanda,6
Sao Tome and Principe,2
Senegal,14
Seychelles,1
Sierra Leone,9
Somalia,6
South Africa,66
South Sudan,6
Sudan,14
Swaziland,4
Tanzania,24
Togo,10
Tunisia,20
Uganda,22
Zambia,13
Zimbabwe,23
