country,city_count
Antigua and Barbuda,3
Argentina,111
Bahamas,14
Barbados,2
Belize,7
Bolivia,51
Brazil,5570
Canada,415
Chile,346
Colombia,1101
Costa Rica,81
Cuba,168
Dominica,1
Dominican Republic,158
Ecuador,221
El Salvador,43
Grenada,1
Guatemala,151
Guyana,4
Haiti,21
Honduras,28
Jamaica,14
Mexico,2438
Nicaragua,15
Panama,59
Paraguay,19
Peru,179
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Vincent and the Grenadines,1
Suriname,4
Trinidad and Tobago,3
United States,19508
Uruguay,112
Venezuela,145
