country,city_count
Afghanistan,30
Armenia,17
Azerbaijan,33
Bahrain,7
Bangladesh,28
Bhutan,20
Brunei,12
Cambodia,26
China,655
Cyprus,32
Georgia,39
India,4041
Indonesia,382
Iran,231
Iraq,48
Israel,137
Japan,685
Jordan,23
Kazakhstan,56
Kuwait,6
Kyrgyzstan,29
Laos,14
Lebanon,28
Malaysia,130
Maldives,26
Mongolia,47
Myanmar (Burma),67
Nepal,26
North Korea,9
Oman,10
Pakistan,145
Palestine,10
Philippines,165
Qatar,8
Russia,1115
Saudi Arabia,32
Singapore,31
South Korea,110
Sri Lanka,20
Syria,40
Taiwan,84
Tajikistan,27
Thailand,186
Timor-Leste (East Timor),13
Turkey,174
Turkmenistan,14
United Arab Emirates,24
Uzbekistan,44
Vietnam,75
Yemen,25
