Algeria,1361
Angola,35
Benin,52
Botswana,13
Burkina Faso,30
Burundi,9
Cabo Verde,8
Cameroon,40
Central African Republic,13
Chad,17
Comoros,9
Democratic Republic of the Congo,30
Republic of the Congo,5
Cote d'Ivoire,49
Djibouti,3
Egypt,91
Equatorial Guinea,7
Eritrea,10
Eswatini,6
Ethiopia,52
Gabon,15
Gambia,18
Ghana,61
Guinea,34
Guinea-Bissau,10
Kenya,44
Lesotho,2
Liberia,15
Libya,31
Madagascar,47
Malawi,20
Mali,25
Mauritania,13
Mauritius,9
Morocco,112
Mozambique,33
Namibia,12
Niger,16
Nigeria,88
Rwanda,8
Sao Tome and Principe,2
Senegal,46
Seychelles,1
Sierra Leone,8
Somalia,14
South Africa,45
South Sudan,4
Sudan,25
Tanzania,43
Togo,24
Tunisia,23
Uganda,22
Zambia,15
Zimbabwe,23
