Afghanistan,25
Armenia,15
Azerbaijan,10
Bahrain,2
Bangladesh,15
Bhutan,1
Brunei,1
Cambodia,7
China,160
Cyprus,8
Georgia,6
India,79
Indonesia,83
Iran,28
Iraq,16
Israel,16
Japan,39
Jordan,9
Kazakhstan,17
Kuwait,1
Kyrgyzstan,4
Laos,4
Lebanon,6
Malaysia,16
Maldives,1
Mongolia,3
Myanmar (Burma),10
Nepal,6
North Korea,3s
Oman,3
Pakistan,20
Palestine,3
Philippines,36
Qatar,2
Russia,111
Saudi Arabia,12
Singapore,1
South Korea,24
Sri Lanka,12
Syria,14
Taiwan,6
Tajikistan,1
Thailand,23
Timor-Leste (East Timor),1
Turkey,17
Turkmenistan,3
United Arab Emirates,3
Uzbekistan,6
Vietnam,21
Yemen,8
